Glottocode,Latitude,Longitude,Macrocontinent,isolate
sand1273,-5.26918,35.4808,Africa,isolate
sape1238,4.0735661,-62.9666521,South America,isolate
saus1247,-3.16632,139.627,Papunesia,isolate
savo1255,-9.12853,159.814,Papunesia,isolate
sech1236,-5.568969,-80.828247,South America,isolate
seri1257,28.9877,-112.384,North America,isolate
shab1252,7.64407,35.223,Africa,isolate
shom1245,7.02099,93.8064,Eurasia,isolate
siam1242,10.998,-4.92143,Africa,isolate
sius1254,42.5111,-124.379,North America,isolate
sulk1246,-5.03471,151.891,Papunesia,isolate
tabo1241,-8.09387,143.305,Papunesia,isolate
taia1239,-4.05047,144.506,Papunesia,isolate
take1257,42.423,-123.452,North America,isolate
tall1235,-5.330824,-80.651093,South America,isolate
tamb1257,-8.25,118,Papunesia,isolate
tana1288,-2.5523,133.18,Papunesia,isolate
taru1236,-0.90963,-59.904786,South America,isolate
taus1253,-3.22497,-75.5603,South America,isolate
timo1237,8.848165,-70.975342,South America,isolate
timu1245,30.3027,-82.3132,North America,isolate
tini1245,2.716,-73.768,South America,isolate
tiwi1244,-11.6308,130.949,Australia,isolate
tonk1249,30.25,-96.75,North America,isolate
touo1238,-8.58405,157.296,Papunesia,isolate
trum1247,-11.8119,-53.5717,South America,isolate
tuni1252,30.9888,-92.5403,North America,isolate
tuxa1239,-8.953642,-38.2742287,South America,isolate
umbu1235,-12.9325,131.825,Australia,isolate
urar1246,-4.44006,-75.4211,South America,isolate
usku1243,-3.63853,140.502,Papunesia,isolate
vile1241,-27.4063,-58.9661,South America,isolate
wadj1254,-12.8596,130.737,Australia,isolate
wage1238,-13.8627,131.893,Australia,isolate
waor1240,-1.12312,-76.683,South America,isolate
wara1303,7.50851,-59.3528,South America,isolate
wash1253,38.8184,-119.64,North America,isolate
wiru1244,-6.35863,144.214,Papunesia,isolate
xuku1239,-8.6606156,-37.0869089,South America,isolate
yale1246,-3.79762,141.566,Papunesia,isolate
yama1264,-55.2748,-68.2648,South America,isolate
yana1271,39.2769,-121.608,North America,isolate
yele1255,-11.3796,154.127,Papunesia,isolate
yera1243,-4.28828,142.947,Papunesia,isolate
yetf1238,-4.05884,140.653,Papunesia,isolate
yuch1247,35.75,-86.75,North America,isolate
yura1255,-16.7479,-65.1224,South America,isolate
yuru1243,3.436864,-76.522636,South America,isolate
zuni1245,35.0056,-108.782,North America,isolate
